author,approved_source_count,selected_licenses,categories,source_urls
7Soul,14,CC0,neck,https://opengameart.org/content/cc0-jewelry-icons; https://opengameart.org/content/lpc-jewelry; https://www.deviantart.com/7soul1/art/129892453
??,15,CC-BY-SA 3.0,head,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-folk
Ahmad3366,20,OGA-BY 3.0,legs,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites
AntumDeluge,58,CC-BY 3.0; CC0,head; neck,https://opengameart.org/content/cc0-jewelry-icons; https://opengameart.org/content/dungeon-crawl-32x32-tiles; https://opengameart.org/content/lpc-folk; https://opengameart.org/content/lpc-jewelry; https://opengameart.org/content/musclemanogreminotaur; https://opengameart.org/content/trolls-0; https://www.deviantart.com/7soul1/art/129892453
Barbara Riviera,60,CC-BY-SA 3.0,hair,https://opengameart.org/content/concept-art-for-lpc-entry; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-expanded-hair
Benjamin K. Smith (BenCreating),486,CC-BY 3.0; CC-BY-SA 3.0; OGA-BY 3.0,backpack; body; head; weapon,https://gitlab.com/vagabondgame/lpc-characters; https://opengameart.org/content/; https://opengameart.org/content/drakes-and-lizardfolk; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-backpacks; https://opengameart.org/content/lpc-barbarian-sprite-base; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-boarman; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-child-standing-template; https://opengameart.org/content/lpc-children-walk-animation; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-medieval-weapons; https://opengameart.org/content/lpc-muscular-hurt-animation; https://opengameart.org/content/lpc-muscular-swing-animation; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-revised-elders; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle; https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads; https://opengameart.org/content/lpc-style-farm-animals; https://opengameart.org/content/lpc-teen-unisex-base-clothes; https://opengameart.org/content/lpc-wild-boar; https://opengameart.org/content/lpc-wolf-animation; https://opengameart.org/content/lpc-wolfman; https://opengameart.org/content/lpc-zombie
bluecarrot16,7017,CC-BY 3.0; CC-BY-SA 3.0; CC0; OGA-BY 3.0; OGA-BY 3.0+; OGA-BY-3.0,arms; backpack; beards; body; cape; dress; facial; feet; hair; hat; head; legs; neck; shield; shoulders; tools; torso; weapon,http://opengameart.org/content/dungeon-crawl-32x32-tiles; http://opengameart.org/content/lpc-clothing-updates; http://opengameart.org/content/lpc-folk; http://opengameart.org/content/lpc-revised-character-basics; http://opengameart.org/content/sara-wizard; https://github.com/ElizaWy/LPC/blob/main/Characters/Hair; https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing; https://github.com/ElizaWy/LPC/tree/main/Characters/Hair; https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Shield%2001%20-%20Heater%20Shield; https://gitlab.com/vagabondgame/lpc-characters; https://opengameart.org/content/; https://opengameart.org/content/alternate-lpc-character-sprites-george; https://opengameart.org/content/anime-lpc-hair; https://opengameart.org/content/bunny-rabbit-lpc-style-for-pixelfarm; https://opengameart.org/content/cc0-headgear-icons; https://opengameart.org/content/cc0-jewelry-icons; https://opengameart.org/content/clothing-facial-features-and-ui-elements; https://opengameart.org/content/drakes-and-lizardfolk; https://opengameart.org/content/dungeon-crawl-32x32-tiles; https://opengameart.org/content/fantasy-rpg-npcs; https://opengameart.org/content/female-mage-clothing-set; https://opengameart.org/content/four-characters-my-lpc-entries; https://opengameart.org/content/fruit-and-veggie-inventory; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-2-characters; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-barbarian-sprite-base; https://opengameart.org/content/lpc-base-character-expressions; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-boarman; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-child-standing-template; https://opengameart.org/content/lpc-children-walk-animation; https://opengameart.org/content/lpc-clothes-and-hair; https://opengameart.org/content/lpc-clothing-updates; https://opengameart.org/content/lpc-combat-armor-for-women; https://opengameart.org/content/lpc-crossbow-final; https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more; https://opengameart.org/content/lpc-dress-in-combat-poses; https://opengameart.org/content/lpc-expanded-armor; https://opengameart.org/content/lpc-expanded-armour; https://opengameart.org/content/lpc-expanded-hair; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-expanded-pants; https://opengameart.org/content/lpc-expanded-simple-shirts; https://opengameart.org/content/lpc-expanded-sit-run-jump-more; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/lpc-expanded-xlong-hair; https://opengameart.org/content/lpc-extended-weapon-animations; https://opengameart.org/content/lpc-farming-tilesets-magic-animations-and-ui-elements; https://opengameart.org/content/lpc-faun-and-minotaur; https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle; https://opengameart.org/content/lpc-folk; https://opengameart.org/content/lpc-full-plate-golden-armor; https://opengameart.org/content/lpc-full-plate-golden-armor-0; https://opengameart.org/content/lpc-gentleman; https://opengameart.org/content/lpc-glow-sword; https://opengameart.org/content/lpc-goblin; https://opengameart.org/content/lpc-hair; https://opengameart.org/content/lpc-hand-tools; https://opengameart.org/content/lpc-helmets; https://opengameart.org/content/lpc-helmets-mega-pack; https://opengameart.org/content/lpc-heroine; https://opengameart.org/content/lpc-heroine-2; https://opengameart.org/content/lpc-jewelry; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-korean-idol-hairstyle-male-with-12-colors; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-lizard-headgear; https://opengameart.org/content/lpc-long-ears; https://opengameart.org/content/lpc-long-straight-hair-with-12-colors; https://opengameart.org/content/lpc-long-tied-hair-with-12-colors; https://opengameart.org/content/lpc-magic-staff; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-male-sheets; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-medieval-weapons; https://opengameart.org/content/lpc-more-backpacks; https://opengameart.org/content/lpc-more-weapons; https://opengameart.org/content/lpc-muscular-hurt-animation; https://opengameart.org/content/lpc-muscular-swing-animation; https://opengameart.org/content/lpc-pink-short-hair; https://opengameart.org/content/lpc-pirates; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/lpc-realistic-helmet-pack; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-roman-armor; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle; https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads; https://opengameart.org/content/lpc-santa; https://opengameart.org/content/lpc-sara; https://opengameart.org/content/lpc-shields; https://opengameart.org/content/lpc-simple-staff; https://opengameart.org/content/lpc-skeleton; https://opengameart.org/content/lpc-skorpios-scifi-sprite-pack; https://opengameart.org/content/lpc-style-farm-animals; https://opengameart.org/content/lpc-teen-androgynous-short-sleeve-shirt; https://opengameart.org/content/lpc-teen-unisex-base-clothes; https://opengameart.org/content/lpc-wild-boar; https://opengameart.org/content/lpc-wings-new-animations; https://opengameart.org/content/lpc-wolf-animation; https://opengameart.org/content/lpc-wolfman; https://opengameart.org/content/lpc-zombie; https://opengameart.org/content/more-lpc-clothes-and-hair; https://opengameart.org/content/musclemanogreminotaur; https://opengameart.org/content/one-more-lpc-alternate-character; https://opengameart.org/content/puck-overland; https://opengameart.org/content/sinbad-the-ogre; https://opengameart.org/content/staff-64-x64; https://opengameart.org/content/star-overland; https://opengameart.org/content/steampun-a-fy-with-concept-art; https://opengameart.org/content/the-revolution-hair; https://opengameart.org/content/thin-mage-clothing-set; https://opengameart.org/content/tower-defense-prototyping-assets-4-monsters-some-tiles-a-background-image; https://opengameart.org/content/trevor-overland; https://opengameart.org/content/trolls-0; https://opengameart.org/content/wartotaur-4-directions; https://www.deviantart.com/7soul1/art/129892453
Bluecarrot16,156,OGA-BY 3.0,feet; legs; torso,http://opengameart.org/content/sara-wizard; https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing; https://opengameart.org/content/lpc-expanded-pants; https://opengameart.org/content/lpc-expanded-sit-run-jump-more; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/lpc-sara
Carlo Enrico Victoria (Nemisys),30,CC-BY-SA 3.0,beards,https://opengameart.org/content/lpc-brunet-mustache; https://opengameart.org/content/lpc-white-beard
Charles Sanchez (CharlesGabriel),15,CC-BY-SA 3.0,hat,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-crown; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
