number,board,group,kind,id,label,source,rect,status
1,new_candidate_sources,New LPC Furniture,source_sheet,Barrel,Barrel,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Objects/Furniture/Barrel.png,"[0, 0, 160, 64]",candidate_needs_slice_metadata
2,new_candidate_sources,New LPC Furniture,source_sheet,Crate,Crate,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Objects/Furniture/Crate.png,"[0, 0, 96, 128]",candidate_needs_slice_metadata
3,new_candidate_sources,New LPC Furniture,source_sheet,"Table, Rough Wood","Table, Rough Wood","HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Objects/Furniture/Table, Rough Wood.png","[0, 0, 192, 192]",candidate_needs_slice_metadata
4,new_candidate_sources,New LPC Furniture,source_sheet,"Table, Ornate Wood","Table, Ornate Wood","HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Objects/Furniture/Table, Ornate Wood.png","[0, 0, 192, 128]",candidate_needs_slice_metadata
5,new_candidate_sources,New LPC Furniture,source_sheet,"Chair, Dining A","Chair, Dining A","HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Objects/Furniture/Seating/Chair, Dining A.png","[0, 0, 224, 256]",candidate_needs_slice_metadata
6,new_candidate_sources,New LPC Furniture,source_sheet,Bar Stools,Bar Stools,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Objects/Furniture/Seating/Bar Stools.png,"[0, 0, 256, 32]",candidate_needs_slice_metadata
7,new_candidate_sources,New LPC Furniture,source_sheet,Fireplace,Fireplace,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Objects/Furniture/Fireplace.png,"[0, 0, 192, 192]",candidate_needs_slice_metadata
8,new_candidate_sources,New LPC Furniture,source_sheet,"Beds, Single  A","Beds, Single  A","HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Objects/Furniture/Beds/Beds, Single  A.png","[0, 0, 896, 256]",candidate_needs_slice_metadata
9,new_candidate_sources,New LPC Town,source_sprite,Sign Backgrounds A,Sign Backgrounds A,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Structure/Signs/Sign Backgrounds A.png,"[0, 0, 64, 64]",candidate_needs_slice_metadata
10,new_candidate_sources,New LPC Town,source_sheet,Plain Fence A,Plain Fence A,HavenwildAssetLibrary/packs/elizawy_lpc_main/raw/LPC-main/Structure/Fences/Plain Fence A.png,"[0, 0, 160, 128]",candidate_needs_slice_metadata
